plan,total_district_num,total_elected,dist_num,mode,H_vk_avg_prop,H_prop_census
000,8,5,0,cambridge,0.558,0.49364955380736775
000,8,5,1,cambridge,0.558,0.20521498947034064
000,8,5,2,cambridge,0.554,0.3427755447589663
000,8,5,3,cambridge,0.562,0.2207558049947498
000,8,5,4,cambridge,0.552,0.3576923337909882
000,8,5,5,cambridge,0.556,0.40406196541599126
000,8,5,6,cambridge,0.56,0.4463053617401402
000,8,5,7,cambridge,0.56,0.36532489769067195
200,8,5,0,cambridge,0.538,0.253787736720897
200,8,5,1,cambridge,0.552,0.3121945368499205
200,8,5,2,cambridge,0.55,0.5315846434050782
200,8,5,3,cambridge,0.552,0.21002719189042637
200,8,5,4,cambridge,0.556,0.2873816481817344
200,8,5,5,cambridge,0.55,0.32820401648678305
200,8,5,6,cambridge,0.556,0.45450786754635236
200,8,5,7,cambridge,0.556,0.4514713418394379
400,8,5,0,cambridge,0.556,0.343948279371737
400,8,5,1,cambridge,0.536,0.33153732771043243
400,8,5,2,cambridge,0.55,0.45087086360989104
400,8,5,3,cambridge,0.568,0.5158501010933764
400,8,5,4,cambridge,0.546,0.20059285813136193
400,8,5,5,cambridge,0.556,0.30672491944949926
400,8,5,6,cambridge,0.55,0.4748806525745602
400,8,5,7,cambridge,0.562,0.20100441253037257
600,8,5,0,cambridge,0.552,0.20105553611843757
600,8,5,1,cambridge,0.542,0.3700352017794283
600,8,5,2,cambridge,0.536,0.3731536897790705
600,8,5,3,cambridge,0.552,0.21495999071046296
600,8,5,4,cambridge,0.54,0.4613796793254313
600,8,5,5,cambridge,0.558,0.4844195282799726
600,8,5,6,cambridge,0.546,0.35599583427141496
600,8,5,7,cambridge,0.552,0.3723271835510081
800,8,5,0,cambridge,0.546,0.4962298183232331
800,8,5,1,cambridge,0.556,0.21816126105337988
800,8,5,2,cambridge,0.546,0.49580447570718844
800,8,5,3,cambridge,0.56,0.31286062008278276
800,8,5,4,cambridge,0.56,0.22898905066844796
800,8,5,5,cambridge,0.544,0.34406322673303635
800,8,5,6,cambridge,0.562,0.32703924924654576
800,8,5,7,cambridge,0.564,0.42225320397090255
