GEOID,assignment
060014001001,3
060014001002,3
060014002001,3
060014002002,3
060014003001,3
060014003002,3
060014003003,3
060014003004,3
060014004001,3
060014004002,3
060014004003,3
060014005001,3
060014005002,3
060014005003,3
060014006001,3
060014006002,3
060014007001,3
060014007002,3
060014007003,3
060014007004,3
060014008001,3
060014008002,3
060014008003,3
060014009001,3
060014009002,3
060014010001,3
060014010002,3
060014010003,3
060014010004,3
060014010005,3
060014010006,3
060014011001,3
060014011002,3
060014011003,3
060014011004,3
060014012001,3
060014012002,3
060014012003,3
060014013001,3
060014013002,3
060014013003,3
060014014001,3
060014014002,3
060014014003,3
060014015001,3
060014015002,3
060014015003,3
060014016001,3
060014016002,3
060014017001,3
060014017002,3
060014017003,3
060014018001,3
060014018002,3
060014022001,3
060014022002,3
060014022003,3
060014024001,3
060014024002,3
060014025001,3
060014025002,3
060014026001,3
060014027001,3
060014027002,3
060014028011,3
060014028012,3
060014028013,3
060014028021,3
060014028022,3
060014029001,3
060014029002,3
060014030001,3
060014030002,3
060014030003,3
060014031001,3
060014031002,3
060014033011,3
060014033012,3
060014033021,3
060014033022,3
060014033023,3
060014034011,3
060014034012,3
060014034013,3
060014034021,3
060014034022,3
060014035011,3
060014035012,3
060014035013,3
060014035014,3
060014035021,3
060014035022,3
060014036001,3
060014036002,3
060014036003,3
060014037011,3
060014037012,3
060014037021,3
060014037022,3
060014038001,3
060014038002,3
060014038003,3
060014038004,3
060014039001,3
060014039002,3
060014039003,3
060014040001,3
060014040002,3
060014040003,3
060014041011,3
060014041012,3
060014041013,3
060014041021,3
060014041022,3
060014042001,3
060014042002,3
060014042003,3
060014043001,3
060014043002,3
060014043003,3
060014044001,3
060014044002,3
060014044003,3
060014044004,3
060014045011,3
060014045021,3
060014045022,3
060014045023,3
060014045024,3
060014046001,3
060014046002,4
060014046003,4
060014046004,3
060014047001,3
060014047002,3
060014048001,3
060014048002,3
060014049001,3
060014049002,3
060014049003,3
060014049004,3
060014050001,3
060014050002,3
060014050003,3
060014051001,3
060014051002,3
060014051003,3
060014051004,3
060014051005,3
060014052001,3
060014052002,3
060014052003,3
060014052004,3
060014053011,3
060014053012,3
060014053013,3
060014053021,3
060014053022,3
060014054011,3
060014054012,3
060014054013,3
060014054021,3
060014054022,3
060014055001,3
060014055002,3
060014055003,3
060014055004,3
060014056001,3
060014056002,3
060014056003,3
060014057001,3
060014057002,3
060014057003,3
060014058001,3
060014058002,3
060014058003,3
060014058004,3
060014059011,3
060014059012,3
060014059013,3
060014059021,3
060014059022,3
060014060001,3
060014060002,3
060014060003,3
