VoteKit RankProfile
Candidates
(D5:D5),(R1:R1),(R4:R4),(D1:D1),(R3:R3),(R2:R2),(R5:R5),(D4:D4),(D2:D2),(D3:D3)
Max Ranking Length
10
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,Ranking_7,Ranking_8,Ranking_9,Ranking_10,&,Weight,&
{'D2'},{'D4'},,,,,,,,,&,104.0,&
{'D2'},{'D4'},{'D5'},,,,,,,,&,40.0,&
{'D2'},{'D4'},{'D5'},{'R1'},,,,,,,&,3.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'R4'},{'D1'},{'R5'},{'R3'},{'D3'},{'R2'},&,1.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'R4'},{'D3'},{'R5'},{'R2'},{'R3'},,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'R4'},{'R5'},{'D1'},{'D3'},,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'R2'},,,,,,&,2.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'R2'},{'D1'},{'D3'},,,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'D1'},,,,,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'D1'},{'D3'},,,,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'D1'},{'D3'},{'R4'},,,,&,2.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'D1'},{'D3'},{'R5'},,,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'D1'},{'D3'},{'R5'},{'R4'},,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'D1'},{'R5'},,,,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'D1'},{'R5'},{'R4'},{'D3'},,,&,2.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'R5'},{'D3'},{'R2'},{'D1'},{'R3'},{'R4'},&,1.0,&
{'D2'},{'D4'},{'D5'},{'R1'},{'R5'},{'R4'},{'D1'},{'R3'},{'D3'},,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R3'},,,,,,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R3'},{'R4'},{'R5'},,,,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R3'},{'R5'},{'R4'},{'D1'},{'D3'},{'R1'},,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R5'},,,,,,,&,5.0,&
{'D2'},{'D4'},{'D5'},{'R5'},{'R4'},{'D1'},,,,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R5'},{'R4'},{'D1'},{'D3'},{'R1'},{'R3'},,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R5'},{'R4'},{'D1'},{'R1'},,,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R5'},{'R4'},{'R1'},,,,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R5'},{'R4'},{'R1'},{'D1'},{'R2'},,,&,1.0,&
{'D2'},{'D4'},{'D5'},{'R5'},{'D3'},,,,,,&,1.0,&
