VoteKit RankProfile
Candidates
(H3:H3),(O4:O4),(O2:O2),(O5:O5),(O1:O1),(H2:H2),(H1:H1),(O6:O6),(O3:O3),(H4:H4)
Max Ranking Length
10
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,Ranking_7,Ranking_8,Ranking_9,Ranking_10,&,Weight,&
{'H3'},{'H1'},{'O1'},,,,,,,,&,1.0,&
{'H3'},{'H1'},{'O1'},{'H2'},{'O3'},{'O4'},{'O6'},,,,&,1.0,&
{'H3'},{'H1'},{'O1'},{'O2'},,,,,,,&,1.0,&
{'H3'},{'H1'},{'O2'},,,,,,,,&,1.0,&
{'H3'},{'H1'},{'O2'},{'O3'},,,,,,,&,3.0,&
{'H3'},{'H1'},{'O2'},{'O3'},{'O5'},{'O6'},,,,,&,1.0,&
{'H3'},{'H1'},{'O2'},{'O3'},{'O5'},{'O4'},{'O6'},{'O1'},{'H2'},{'H4'},&,1.0,&
{'H3'},{'H1'},{'O2'},{'O3'},{'H2'},,,,,,&,1.0,&
{'H3'},{'H1'},{'O2'},{'O3'},{'H2'},{'O1'},{'H4'},,,,&,1.0,&
{'H3'},{'H1'},{'O2'},{'O6'},{'O3'},{'O5'},{'O1'},{'O4'},,,&,1.0,&
{'H3'},{'H1'},{'O2'},{'H2'},{'H4'},,,,,,&,1.0,&
{'H3'},{'H1'},{'O2'},{'H2'},{'H4'},{'O5'},{'O3'},{'O6'},{'O1'},,&,1.0,&
{'H3'},{'H1'},{'O2'},{'H2'},{'H4'},{'O1'},{'O3'},{'O5'},{'O6'},,&,1.0,&
{'H3'},{'H1'},{'O2'},{'H4'},{'O3'},{'O5'},{'O1'},{'O6'},{'O4'},,&,1.0,&
{'H3'},{'H1'},{'O2'},{'H4'},{'O3'},{'H2'},,,,,&,1.0,&
{'H3'},{'H1'},{'O2'},{'O1'},{'O3'},{'O6'},{'O4'},{'O5'},,,&,1.0,&
{'H3'},{'H1'},{'O5'},,,,,,,,&,3.0,&
